input_id,batch_id,wave,separator,mod,plugin,plugin_path,evidence_id,evidence_kind,reader_status,record_signature,formid,editor_id,name,quest_expansion_classification,stage_numbers,evidence,signal_counts,proposed_triage,proposed_reason,notes,primary_review_status
4278bf28c12c232d,NQ090,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Mirele Bismath Reborn.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - Mirele Bismath Reborn.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:3|LCTN:1,,,,UNREVIEWED
86c54e27b67e7d2e,NQ090,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Morskom Estate patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - Morskom Estate patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:5|LCTN:1,,,,UNREVIEWED
e6a5025fb669d3b4,NQ090,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Olenveld patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - Olenveld patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:12,,,,UNREVIEWED
049c53c693962ec8,NQ090,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Remiel patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - Remiel patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:11,,,,UNREVIEWED
dab39954de0fdc06,NQ090,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Ryften Windows patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - Ryften Windows patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:10,,,,UNREVIEWED
0f790516a772fe43,NQ090,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Saints and Seducers Extended Cut patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - Saints and Seducers Extended Cut patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:16|LCTN:3,,,,UNREVIEWED
851ec29218615341,NQ090,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Shadowfoot Sanctum patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - Shadowfoot Sanctum patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:3,,,,UNREVIEWED
5897b780437e80cf,NQ090,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Siege at Icemoth patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - Siege at Icemoth patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:19,,,,UNREVIEWED
e8964271a689fa99,NQ090,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - The Cause patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - The Cause patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:12,,,,UNREVIEWED
9da382e3118cd1c2,NQ090,NQ,Lighting - Lux and Lux Patches,Lux (patch hub) - rerun,Lux - Tools of Kagrenac patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lux (patch hub) - rerun\Lux - Tools of Kagrenac patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ACTI:21,,,,UNREVIEWED
