input_id,batch_id,wave,separator,mod,plugin,plugin_path,evidence_id,evidence_kind,reader_status,record_signature,formid,editor_id,name,quest_expansion_classification,stage_numbers,evidence,signal_counts,proposed_triage,proposed_reason,notes,primary_review_status
e95da011fd315144,NQ071,NQ,Gameplay - Death Alternative,Lively's Formlist Manipulator INI for Shadow of Skyrim - Forgotten City,Liv_ForgottenCity_AddLocations.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Lively's Formlist Manipulator INI for Shadow of Skyrim - Forgotten City\Liv_ForgottenCity_AddLocations.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,LCTN:1,,,,UNREVIEWED
a741ea0da0022082,NQ071,NQ,Gameplay - Frameworks,Dtry Key Util Stuck Keys fix,KeyTrace Fix.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Dtry Key Util Stuck Keys fix\KeyTrace Fix.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,KYWD:1|SPEL:1,,,,UNREVIEWED
f0a2e9fa56b5941b,NQ071,NQ,Gameplay - Frameworks,dTry's Key Utils,Keytrace.esp,D:\Wabbajack\modlists\ARR 2.5\mods\dTry's Key Utils\Keytrace.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,SPEL:4,,,,UNREVIEWED
e40083b72b3d7043,NQ071,NQ,Gameplay - Frameworks,Threads of the North - rerun,Threads of the North.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Threads of the North - rerun\Threads of the North.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ARMO:6|KYWD:3|MISC:2,,,,UNREVIEWED
87217041a51845d1,NQ071,NQ,Gameplay - Immersion,AFDI - CC Saints and Seducers Creatures Patch,AFDI - CC Saints and Seducers Creatures Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\AFDI - CC Saints and Seducers Creatures Patch\AFDI - CC Saints and Seducers Creatures Patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,FLST:4,,,,UNREVIEWED
ecf079650af912fd,NQ071,NQ,Gameplay - Immersion,Basic Wenches,BasicWenches.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Basic Wenches\BasicWenches.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,FACT:1,,,,UNREVIEWED
138a6750ca375988,NQ071,NQ,Gameplay - Immersion,DBM - DirtAndBlood - InnSoaps - WadeInWater Patch,DBM_DirtAndBlood_InnSoaps_WadeInWater_Patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\DBM - DirtAndBlood - InnSoaps - WadeInWater Patch\DBM_DirtAndBlood_InnSoaps_WadeInWater_Patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,MISC:10,,,,UNREVIEWED
105f9b13c70cd63c,NQ071,NQ,Gameplay - Immersion,Go to bed - Patches,Gotobed-HearthFires-patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Go to bed - Patches\Gotobed-HearthFires-patch.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,KYWD:1,,,,UNREVIEWED
88597020d98eb6ac,NQ071,NQ,Gameplay - Immersion,Handheld Lanterns - HDT-SMP,Handheld Lanterns - Simple Wearable - Remastered.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Handheld Lanterns - HDT-SMP\Handheld Lanterns - Simple Wearable - Remastered.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ARMO:2|MISC:4,,,,UNREVIEWED
cd2d411a10f85ced,NQ071,NQ,Gameplay - Immersion,Inn Soaps,Inn Soaps.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Inn Soaps\Inn Soaps.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,CONT:10|FLST:3|KYWD:1|MISC:10,,,,UNREVIEWED
