input_id,batch_id,wave,separator,mod,plugin,plugin_path,evidence_id,evidence_kind,reader_status,record_signature,formid,editor_id,name,quest_expansion_classification,stage_numbers,evidence,signal_counts,proposed_triage,proposed_reason,notes,primary_review_status
9ce15399d8688b67,NQ009,NQ,Armor and Weapons - Modded,MAGECORE - hdt SMP (CBBE 3BA),[Caenarvon] Magecore.esp,D:\Wabbajack\modlists\ARR 2.5\mods\MAGECORE - hdt SMP (CBBE 3BA)\[Caenarvon] Magecore.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ARMO:169|CONT:5|KYWD:3,,,,UNREVIEWED
f34de7126bf566f3,NQ009,NQ,Armor and Weapons - Modded,Merchantress Outfits - Main,kco_mct.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Merchantress Outfits - Main\kco_mct.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ARMO:6,,,,UNREVIEWED
e6bb2d4b90ac17d0,NQ009,NQ,Armor and Weapons - Modded,Midnight Mistress Armor Mashup - SMP 3BA,Midnight Mistress.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Midnight Mistress Armor Mashup - SMP 3BA\Midnight Mistress.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ARMO:3,,,,UNREVIEWED
8f4ea5c349f9d7c6,NQ009,NQ,Armor and Weapons - Modded,Moon Monk's Robes,Kad_MoonMonkRobes.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Moon Monk's Robes\Kad_MoonMonkRobes.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ARMO:79|BOOK:1|CONT:3|ENCH:3|FLST:1|KYWD:1|PERK:1,,,,UNREVIEWED
8decf1a9d9940883,NQ009,NQ,Armor and Weapons - Modded,Moonblade,Moonblade - Johnskyrim.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Moonblade\Moonblade - Johnskyrim.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ENCH:2|PERK:1|SPEL:1|WEAP:4,,,,UNREVIEWED
828561ec0d432ad4,NQ009,NQ,Armor and Weapons - Modded,New Leather Armor,New Leather Armor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\New Leather Armor\New Leather Armor.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ARMO:6,,,,UNREVIEWED
890346fe5ce49f13,NQ009,NQ,Armor and Weapons - Modded,Nibenean Armors and Outfit by Xtudo - HIMBO,NibeneanArmorsAndOutfit.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Nibenean Armors and Outfit by Xtudo - HIMBO\NibeneanArmorsAndOutfit.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ARMO:20,,,,UNREVIEWED
14adfd0e2cf4cb6d,NQ009,NQ,Armor and Weapons - Modded,Nibenean Armors and Outfit SE,NibeneanArmorsAndOutfit.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Nibenean Armors and Outfit SE\NibeneanArmorsAndOutfit.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ARMO:20,,,,UNREVIEWED
fa79319ed2217c53,NQ009,NQ,Armor and Weapons - Modded,Nibenean Strider Armor SE by Xtudo,NibeneanStriderbyXtudo.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Nibenean Strider Armor SE by Xtudo\NibeneanStriderbyXtudo.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ARMO:11,,,,UNREVIEWED
606fb09ae7c086fe,NQ009,NQ,Armor and Weapons - Modded,Nirn Necessities - Requiem Rebalance Patch,Nirn Necessities - Requiem Rebalance.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Nirn Necessities - Requiem Rebalance Patch\Nirn Necessities - Requiem Rebalance.esp,PLUGIN,PLUGIN-PENDING,pending,,,,,,,,ARMO:67|ENCH:9,,,,UNREVIEWED
